관리번호,시군구명,시군구코드,우편번호,주소,연락처,위도,경도,위치,교차로수,대표이미지,기준일자,기타,CCTV수
3670000_CCTV_00139,유성구,3670000,34009,대전광역시 유성구 반석로 10 반석역프라자,042-611-2574,36.39211788,127.3134695,"[1821566.565,983110.606],[1821627.474,983352.918],[1821747.921,983216.884],[1821457.42,983291.689]",4,"1, 2, 3",20-08-31,"하나로마트 없음, 반석동 690(하나로마트 앞)",1
3670000_CCTV_00140,유성구,3670000,34068,대전광역시 유성구 반석로 24(올리브영 반석점),042-611-2574,36.3917269,127.3120446,"[1821532.405,982979.19],[1821715.452,983086.399],[1821423.845,983156.779],[1821606.32,983269.935]",4,"1, 2, 3",20-08-31,"반석동 676,  올리브영 건물 앞 카메라",1
3670000_CCTV_00141,유성구,3670000,34019,대전광역시 유성구 테크노4로 141,042-611-2574,36.42226008,127.387805,"[1824863.949,989851.332],[1825128.863,989992.12]",2,"1, 2, 3",20-08-31,관평동 913(대덕테크노 9블럭 앞),1
3670000_CCTV_00142,유성구,3670000,34032,"대전광역시 유성구 용산동 666(용산초등학교 앞, 우림필유 아파트 1101동 앞)",042-611-2574,36.41779082,127.3930463,"[1824599.531,990677.376],[1824717.559,990406.47]",2,"1, 2, 3",20-08-31,,1
3670000_CCTV_00144,유성구,3670000,34171,대전광역시 유성구 문화원로 18 (장대동),042-611-2574,36.36115465,127.3382314,"[1818284.223,985375.189],[1818139.893,985638.189],[1818343.344,985579.242],[1818111.252,985451.127]",4,"1, 2, 3",20-08-31,장대동 354-9(장대초교 앞),1
3670000_CCTV_00145,유성구,3670000,34077,"대전광역시 유성구 지족로 368 (지족동, 옥타브상가) (농협 앞)",042-611-2574,36.3864557,127.3174378,"[1821087.679,983419.909],[1820924.166,983681.053],[1821082.916, 983675.496]",3,"1, 2, 3",20-08-31,지족동 997(반석마을 3블럭 앞),1
3670000_CCTV_00146,유성구,3670000,34086,대전광역시 유성구 은구비남로33번길 18,042-611-2574,36.37304058,127.319517,"[1819665.161,983795.166],[1819443.732,983795.166]",2,"1, 2, 3",20-08-31,지족동 907-4(하나은행 주변),1
3670000_CCTV_00147,유성구,3670000,34086,대전광역시 유성구 지족동 910-8(노은역 환승주차장 앞),042-611-2574,36.37444299,127.3195178,"[1819519.324,983795.423],[1819819.324,983795.423],[1819668.81,983731.189]",3,"1, 2, 3",20-08-31,,1
3670000_CCTV_00149,유성구,3670000,34019,대전광역시 유성구 관평동 995(동화중 삼거리),042-611-2574,36.4233843,127.3894567,"[1825208.461,990123.243],[1824967.458,989999.964],[1825131.865,990008.546]",3,"1, 2, 3",20-08-31,,1
3670000_CCTV_00148,유성구,3670000,34086,대전광역시 유성구 지족동 905-4(씨네위 앞),042-611-2574,36.37254105,127.3185038,"[1819281.525,983663.945],[1819431.525,983513.945],[1819431.525,983813.945],[1819581.525,983663.945]",4,"1, 2, 3",20-08-31,,1
3670000_CCTV_00150,유성구,3670000,34199,대전광역시 유성구 상대동 465(휴먼시아 아파트 401동 앞),042-611-2574,36.34687429,127.3375364,"[1816654.103,985550.864],[1816504.103,985400.864],[1816504.103,985645.94],[1816355.854,985530.831]",4,"1, 2, 3",20-08-31,상대동 494(상대동로 네거리),1
3670000_CCTV_00151,유성구,3670000,34190,대전광역시 유성구 봉명서로20번길 17-23 앞 사거리,042-611-2574,36.3456015,127.3420317,"[1816652.819,985795.839],[1816502.819,985692.652],[1816352.819,985795.839],[1816502.819,985945.839]",4,"1, 2, 3",20-08-31,봉명동 1066(봉명서로 네거리),1
3670000_CCTV_00152,유성구,3670000,34178,대전광역시 유성구 계룡로52번길 11 유성세움펠리피아 아파트 앞 봉명네거리,042-611-2574,36.3544713,127.336859,"[1817483.04,985497.484],[1817385.387,985305.103],[1817575.077,985211.979],[1817675.908,985334.834]",4,"1, 2, 3",20-08-31,봉명동 466-22(장터길 네거리)(봉명동네거리),1
3670000_CCTV_00153,유성구,3670000,34083,대전광역시 유성구 은구비로 31 열매마을5단지 LBA노은합동공인중개사사무소 앞 지족네거리,042-611-2574,36.37679814,127.3190059,"[1819699.166,983665.46],[1819849.166,983515.46],[1819849.166, 983815.46],[1819999.166, 983665.46]",4,"1, 2, 3",20-08-31,지족동 952(지족네거리),1
3670000_CCTV_00154,유성구,3670000,34086,대전광역시 유성구 노은로 158 스위스안경본점 앞,042-611-2574,36.37367899,127.3184062,"[1819461.465,983664.962],[1819611.465,983664.962],[1819761.465,983664.962]",2,"1, 2, 3",20-08-31,지족동 900 노은역4번출구 앞(노은로),1
3670000_CCTV_00155,유성구,3670000,34179,대전광역시 유성구 계룡로 92 유성CJ나인파크 짬뽕의진수 앞 사거리,042-611-2574,36.35347454,127.340594,"[1817353.771,985508.669],[1817393.459,985680.119],[1817279.555, 985724.569]",3,"1, 2, 3",20-08-31,봉명동 532(유성구종합사회복지관 옆),1
3670000_CCTV_00156,유성구,3670000,34116,대전광역시 유성구 신성동 137-1 (탄동농협 앞 사거리),042-611-2574,36.39042823,127.3497131,"[1821606.387,986594.516],[1821365.177,986418.01]",2,"1, 2",20-08-31,"신성로 구간만 황색실선, 신성로 83, 84번길은 흰색",1
3670000_CCTV_00157,유성구,3670000,34199,"대전광역시 유성구 상대로 40 (상대동, 도안휴먼시아4단지) 408동 앞 유성중삼거리",042-611-2574,36.3472663,127.3372731,"[1816354.601,985246.719],[1816654.601,985246.719],[1816504.601,985396.719]",3,"1, 2, 3",20-08-31,상대동 493 (유성중학교 앞),1
3670000_CCTV_00158,유성구,3670000,34125,대전광역시 유성구 엑스포로123번길 46-15 스마트시티 501동 옆,042-611-2574,36.37717513,127.3948698,"[1820116.623,990447.755],[1820012.127,990297.755],[1819862.127,990447.755]",3,"1, 2, 3",20-08-31,도룡동 스마트시티 주변,1
3670000_CCTV_00159,유성구,3670000,34049,대전광역시 유성구 엑스포로466번길 97 꿈돌이슈퍼 앞 삼거리,042-611-2574,36.40148024,127.4053055,"[1822689.194,991485.82],[1822689.194,991741.638],[1822539.194,991611.511]",3,"1, 2, 3",20-08-31,전민동 전민중 주변(엑스포로446번길),1
3670000_CCTV_00160,유성구,3670000,34164,대전광역시 유성구 장대로71번길 12 유성초등학교 드림아트미술교습소 옆,042-611-2574,36.36229056,127.3332305,"[1818350.152,985161.837],[1818154.746,985114.807],[1818161.715,985251.697]",3,"1, 2, 3",20-08-31,장대동 155 유성초등학교 주변,1
3670000_CCTV_00161,유성구,3670000,34137,대전광역시 유성구 궁동 413-1(궁동로 18번길 2),042-611-2574,36.3626747,127.3475221,"[1818236.097,986327.31],[1818433.637,986324.463],[1818384.822,986457.794]",3,"1, 2, 3",20-08-31,,1
3670000_CCTV_00162,유성구,3670000,34137,대전광역시 유성구 궁동 413-7(궁동로18번길 24),042-611-2574,36.36259887,127.3485312,"[1818472.134,986438.763],[1818213.372,986438.763],[1818384.425,986588.763],[1818384.4247,986307.7939]",4,"1, 2, 3",20-08-31,,1
3670000_CCTV_00163,유성구,3670000,34138,대전광역시 유성구 궁동 409(대학로151번길 46),042-611-2574,36.36261338,127.3503057,"[1818511.028, 986556.238],[1818229.247,986554.65],[1818383.631,986405.822],[1818382.44,986706.238]",4,"1, 2, 3",20-08-31,,1
3670000_CCTV_00164,유성구,3670000,34138,대전광역시 유성구 궁동 1-28(농대로 25),042-611-2574,36.36288132,127.3528316,"[1818382.202,986668.375],[1818532.084,986803.361],[1818235.993,986838.614]",3,"1, 2, 3",20-08-31,,1
3670000_CCTV_00165,유성구,3670000,34138,대전광역시 유성구 궁동 1-36(궁동로 74),042-611-2574,36.3638467,127.3527615,"[1818362.953,986820.306],[1818512.218,986683.238],[1818646.759,986768.566]",3,"1, 2, 3",20-08-31,,1
3670000_CCTV_00166,유성구,3670000,34137,대전광역시 유성구 궁동 393 (궁동로 47),042-611-2574,36.36405779,127.3499715,"[1818526.724,986665.152],[1818505.716,986533.652]",2,"1, 2, 3",20-08-31,좌우 150미터 반경인 반면 골목 굴곡으로 카메라 시야 한계로 보정한 범위 좌표사용,1
3670000_CCTV_00167,유성구,3670000,34188,대전광역시 유성구 계룡로132번길 22(봉명동 유시티 네거리),042-611-2574,36.35164583,127.3442659,"[1817114.066,986210.612],[1817239.613,986093.638],[1817208.312,985925.806],[1817016.22,986026.348]",4,"1, 2, 3",20-08-31,,1
3670000_CCTV_00168,유성구,3670000,34090,대전광역시 유성구 은구비남로 56(노은동 열매마을9단지) 901동 앞,042-611-2574,36.37153172,127.322614,"[1819578.575,983906.721],[1819428.575,984056.721],[1819428.575,983756.721]",3,"1, 2, 3",20-08-31,,1
3670000_CCTV_00169,유성구,3670000,34085,대전광역시 유성구 은구비로 52(지족동 지족우체국),042-611-2574,36.37573927,127.3208506,"[1819848.969,983761.296],[1819699.841,983908.662],[1819848.969,984061.296]",3,"1, 2, 3",20-08-31,,1
3670000_CCTV_00170,유성구,3670000,34049,대전광역시 유성구 엑스포로 488(전민네거리),042-611-2574,36.39998968,127.4057004,"[1822467.263,991602.023],[1822617.263,991469.924],[1822467.263,991319.924],[1822317.263,991469.924]",4,"1, 2, 3",20-08-31,,1
3670000_CCTV_00171,유성구,3670000,34209,대전광역시 유성구 계산동 801-1(진잠농협 앞),042-611-2574,36.34247165,127.3038485,"[1816072.953,982513.743],[1816044.172,982315.153],[1816294.625,982316.62]",3,"1, 2, 3",20-08-31,,1
3670000_CCTV_00172,유성구,3670000,28475,대전광역시 유성구 봉명동 528(리베라호텔 네거리),042-611-2574,36.35438508,127.3390842,"[1817315.948,985520.216],[1817409.223,985704.735],[1817603.144,985606.926],[1817505.861,985420.758]",4,"1, 2, 3",20-08-31,,1
3670000_CCTV_00173,유성구,3670000,34070,대전광역시 유성구 지족로 283(CU 지족센터점 앞) 고래들네거리,042-611-2574,36.38773921,127.3080603,"[1821169.936,982972.084],[1821088.275,982685.444],[1821287.886,982776.761],[1820995.546,982824.08]",4,"1, 2",20-08-31,지족동 1060-1(노은3동 고래들네거리),1
3670000_CCTV_00174,유성구,3670000,34138,대전광역시 유성구 대학로 151 e-미래공인중개사사무소 앞,042-611-2574,36.36074555,127.3502814,"[1818290.12,986554.346],[1818112.477,986701.776],[1818185.4390,986411.3555]",2,"1, 2, 3",20-08-31,궁동 27-2(미래부동산 앞) 미래공인중개사 앞,1
3670000_CCTV_00175,유성구,3670000,34137,대전광역시 유성구 궁동 418-8(해피씨드 앞),042-611-2574,36.36116199,127.3486783,"[1818361.679,986437.99],[1818190.371,986429.122]",2,"1, 2, 3",20-08-31,,1
3670000_CCTV_00176,유성구,3670000,34137,대전광역시 유성구 궁동 410-13(파리바게트 궁동점),042-611-2574,36.36183011,127.3499111,"[1818267.09,986705.152],[1818417.09, 986555.152],[1818267.09, 986437.99],[1818151.003,986555.152]",4,"1, 2, 3",20-08-31,,1
3670000_CCTV_00177,유성구,3670000,34138,대전광역시 유성구 궁동 428-1(궁동노인정),042-611-2574,36.36147177,127.3517722,"[1818267.214,986819.791],[1818267.214,986531.844]",2,"1, 2, 3",20-08-31,"카메라 4대지만 대학로 163번길은 흰색실선, 양측만 qgis에 표시",1
3670000_CCTV_00178,유성구,3670000,34173,대전광역시 유성구 유성대로 735(유성중고만물상 앞),042-611-2574,36.35895808,127.3331366,"[1817852.407,984925.851],[1818054.779,985147.314]",2,"1, 2, 3",20-08-31,장대동 268-3(장대철물 앞),1
3670000_CCTV_00179,유성구,3670000,34172,대전광역시 유성구 유성대로 756 울엄마양평해장국 주차장 앞 사거리,042-611-2574,36.35975079,127.3350778,"[1818139.009,985253.708],[1817945.428,985044.003],[1818143.309,985067.754]",3,"1, 2, 3",20-08-31,장대동 273-8(장대푸르지오 입구),1
3670000_CCTV_00180,유성구,3670000,34219,대전광역시 유성구 대정동 303-2(모다아울렛 앞),042-611-2574,36.31264805,127.3189803,"[1812752.634,983833.389],[1813039.851,983833.389],[1812889.851,983950.227]",3,"1, 2, 3",20-08-31,,1
3670000_CCTV_00143,유성구,3670000,34032,대전광역시 유성구 배울2로 114 대덕테크노밸리11단지아파트 예인유치원 앞,042-611-2574,36.41933534,127.3935191,"[1824542.3595,990801.5747],[1824665.3645,990527.9513]",2,"1, 2, 3",20-08-31,용산동 666(용산초교 네거리),1
3650000_CCTV_00203,중구,3650000,35055,대전광역시 중구 대둔산로 394(산성동 279-1/산성4가),042-606-6885,36.30446041,127.3864849,"[1811976.8911,989924.6708],[1812068.1981,989825.3807],[1811916.5187,989633.7856],[1811773.3214,989783.4692]",4,"1,2",20-09-16,,1
3650000_CCTV_00204,중구,3650000,34921,대전광역시 중구 중앙로 160(은행동 48-1/밀라노 21),042-606-6885,36.32891275,127.4273121,"[1814581.8502,993324.2936],[1814706.6564,993597.1002]",2,1,20-09-16,,1
3650000_CCTV_00205,중구,3650000,35047,대전광역시 중구 보문로 57(부사동 151-1/ 부사4가),042-606-6885,36.31297654,127.4345906,"[1812933.6190,994289.4452],[1813006.1880,994089.5279],[1812886.7181,994004.0485],[1812788.9248,994280.4642]",4,1,20-09-16,,1
3650000_CCTV_00206,중구,3650000,34938,대전광역시 중구 수도산로 12(대흥동 365-5/대흥초교) - 어린이(초),042-606-6885,36.31982362,127.4265379,"[1813709.9780,993490.1347],[1813586.4991,993215.2944]",4,1,20-09-16,,1
3650000_CCTV_00207,중구,3650000,35032,대전광역시 중구 문창로 3(부사동149-13/문창시장입구),042-606-6885,36.31394665,127.4363436,"[1813002.4734,994437.1331],[1812875.3048,994164.9128]",2,1,20-09-16,,1
3650000_CCTV_00208,중구,3650000,34924,대전광역시 중구 중앙로 156번길 50(은행동 163-5 중교통 은행4가),042-606-6885,36.32693874,127.4279302,"[1814447.4193,993676.7403],[1814324.0539,993402.1527]",2,1,20-09-16,,1
3650000_CCTV_00209,중구,3650000,34923,대전광역시 중구 중교로 91-3(은행동 76-29/ 중교통 중교),042-606-6885,36.32748391,127.4293036,"[1814497.8311,993795.5210],[1814379.0455,993520.0397]",2,1,20-09-16,,1
3650000_CCTV_00210,중구,3650000,35027,대전광역시 중구 문창로 55(부사동 94-15/문창초교) - 어린이(초),042-606-6885,36.31730948,127.4344623,"[1813281.4102,994152.8655],[1813553.6223,994026.8437]",2,1,20-09-16,,1
3650000_CCTV_00211,중구,3650000,35030,대전광역시 중구 보문로 26(문창동 365-12/문창신협),042-606-6885,36.31453234,127.4378038,"[1813069.1413,994566.4258],[1812943.7886,994293.8699]",2,1,20-09-16,,1
