본문 구절,위치,추출,출처 유형,확인 URL·파일,조치,비고
"이름 중 포함 33,336개(21.8 %, 95 % CI 21.6~2",서식2 문단 16,95 %,저장소 산출,deliverables/대전_단속CCTV_골목급대조.csv | deliverables/이름포함률_대전.csv | deliverables/전국대조군_길번길포함률.csv,유지,
", 95 % CI 21.6~22.0) → 밖 78.2 %. 단위는 (시군구",서식2 문단 16,78.2 %,저장소 산출,deliverables/전국대조군_길번길포함률.csv,유지,재계산 일치
"단위는 (시군구, 정규화 도로명)이고 시도별 14.6 %(부산)~31.6",서식2 문단 16,14.6 %,저장소 산출,data/vworld/national/derived/ngii_width_probe.json,유지,
"규화 도로명)이고 시도별 14.6 %(부산)~31.6 %(울산), 조회 실",서식2 문단 16,31.6 %,저장소 산출,deliverables/전국대조군_길번길포함률.csv,유지,울산 포함률 0.3161
※ 도표 1 전국 16개 시도 골목 도로명,서식2 문단 18,16개,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
"대조 기준 포함 범위 밖 비율 — 전국 합산 78.2 %(152,944개",서식2 문단 18,78.2 %,저장소 산출,deliverables/전국대조군_길번길포함률.csv,유지,도표 1 캡션
"함 범위 밖 비율 — 전국 합산 78.2 %(152,944개 이름 중 포함 3",서식2 문단 18,"152,944개",저장소 산출,data/vworld/national/derived/national_inclusion.json,유지,
"78.2 %(152,944개 이름 중 포함 33,336개). 출처 표준노드",서식2 문단 18,"33,336개",저장소 산출,data/vworld/national/derived/national_inclusion.json,유지,
않는다 — 번길 이름 비중 0 %인 시도와 80 % 이상인 시도의 포,서식2 문단 19,80 %,저장소 산출,deliverables/대전_단속CCTV_골목급대조.csv | deliverables/26개소_산출표.md | deliverables/도달률매트릭스_진입곤란26개소.md,유지,
골목은 더 그렇다 — 처리군(지정 길·번길 42개) 밖 97.6 %,서식2 문단 20,42개,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-C_도로경계내접폭_5자대조.csv,유지,
그렇다 — 처리군(지정 길·번길 42개) 밖 97.6 %(41/42) vs,서식2 문단 20,97.6 %,저장소 산출,deliverables/이름포함률_대전.csv,유지,41/42 = 0.9762
"개) 밖 97.6 %(41/42) vs 같은 5개 구 비지정 2,9",서식2 문단 20,5개,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
"%(41/42) vs 같은 5개 구 비지정 2,922개 79.1 %. 차",서식2 문단 20,"2,922개",저장소 산출,docs/판정기준.md | data/vworld/national/derived/ai_a_classifier.json | data/vworld/national/derived/inclusion_rate.json,유지,
"2) vs 같은 5개 구 비지정 2,922개 79.1 %. 차이 +18.5",서식2 문단 20,79.1 %,저장소 산출,docs/판정기준.md | data/vworld/national/derived/national_inclusion.json,유지,
"구 비지정 2,922개 79.1 %. 차이 +18.5 %p · Fisher",서식2 문단 20,18.5 %p,저장소 산출,deliverables/이름포함률_대전.csv,유지,97.6 − 79.1 · Fisher 단측 p = 0.00069 재계산(scipy)
+18.5 %p · Fisher 단측 p = 0.0007 · 5개 구 모두 같은 방,서식2 문단 20,0.0007 · 5개,저장소 산출,data/vworld/national/derived/hierarchy_compare_v2.json,유지,
경찰청 대전지역 주정차 허용현황 55구간과 26개소 도로명 36개의,서식2 문단 21,26개소,저장소 산출,deliverables/AI보완_커버리지표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
으로 삼기 어렵다(포함 여부는 이름 대조이며 26개소 선형 자체는 조회,서식2 문단 22,26개소,저장소 산출,deliverables/AI보완_커버리지표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
"11,125건",서식2 문단 27,"11,125건",저장소 산출,data/vworld/national/raw/daejeon_sprd_geom.jsonl,유지,"행 수 재계산 일치(원자료, 비추적)"
"7,948건 (71.4 %)",서식2 문단 29,"7,948건",저장소 산출,data/vworld/national/raw/daejeon_sprd_geom.jsonl,유지,"도로명 끝 「길·번길」 행 재계산 일치(원자료, 비추적)"
"7,948건 (71.4 %)",서식2 문단 29,71.4 %,저장소 산출,data/vworld/national/raw/daejeon_sprd_geom.jsonl,유지,"7,948/11,125 재계산"
"7,948건 (100 %)",서식2 문단 31,"7,948건",저장소 산출,data/vworld/national/raw/daejeon_sprd_geom.jsonl,유지,"road_bt 값 있음 7,948 재계산"
"7,948건 (100 %)",서식2 문단 31,100 %,저장소 산출,deliverables/대전_단속CCTV_골목급대조.csv | deliverables/방범CCTV_26개소.csv | deliverables/도달률매트릭스_진입곤란26개소.md,유지,
26개소 조각 도로명 36,서식2 문단 32,26개소,저장소 산출,deliverables/AI보완_커버리지표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
26개소 조각 도로명 36개 중 도로구간에 있,서식2 문단 32,36개,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/경사_26개소.csv,유지,
36개 (100 %),서식2 문단 33,36개,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/경사_26개소.csv,유지,
36개 (100 %),서식2 문단 33,100 %,저장소 산출,deliverables/대전_단속CCTV_골목급대조.csv | deliverables/방범CCTV_26개소.csv | deliverables/도달률매트릭스_진입곤란26개소.md,유지,
◦ 각 칸 = 대전 26개소 / 전국 · ○,서식2 문단 39,26개소,저장소 산출,deliverables/AI보완_커버리지표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
○ / ○(결측 0 %),서식2 문단 45,0 %,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
"측 가능성 — 전국 CCTV 표준데이터(대전 8,457개소)를 받아 37조각",서식2 문단 66,"8,457개소",저장소 산출,deliverables/도달률매트릭스_진입곤란26개소.md,유지,
"TV 표준데이터(대전 8,457개소)를 받아 37조각 중 27조각 반경",서식2 문단 66,37조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
"터(대전 8,457개소)를 받아 37조각 중 27조각 반경 100 m",서식2 문단 66,27조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-B_SAM검증_4자대조.csv | deliverables/ITS영상CCTV_26개소.csv,유지,
57개소)를 받아 37조각 중 27조각 반경 100 m 안 확인(L1 △,서식2 문단 66,100 m,저장소 산출,deliverables/대전_단속CCTV_골목급대조.csv | deliverables/방범CCTV_26개소.csv | deliverables/도달률매트릭스_진입곤란26개소.md,유지,
0 %,서식2 문단 73,0 %,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
"3.0 단일값 30.2 %(264,398구간",서식2 문단 74,30.2 %,저장소 산출,deliverables/3단표.md | deliverables/도달률매트릭스_진입곤란26개소.md | deliverables/이름은있는데쓸수없는속성.md,유지,
"3.0 단일값 30.2 %(264,398구간)",서식2 문단 74,"264,398구간",저장소 산출,deliverables/도달률매트릭스_진입곤란26개소.md | data/vworld/national/derived/road_bt_national.json,유지,
0 %,서식2 문단 77,0 %,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
0 %(26개소 314건,서식2 문단 85,0 %,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
0 %(26개소 314건·대전 표,서식2 문단 85,26개소,저장소 산출,deliverables/AI보완_커버리지표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
"0 %(26개소 314건·대전 표본 2,7",서식2 문단 85,314건,저장소 산출,deliverables/대전_단속CCTV_골목급대조.csv | data/vworld/national/derived/nodelink_prefix_sido.json | data/vworld/national/derived/nodelink_prefix_sigg.json,유지,
"0 %(26개소 314건·대전 표본 2,763건 전부)",서식2 문단 85,"2,763건",저장소 산출,data/vworld/national/derived/ngii_width_probe.json,유지,"fill.by_rddv_scls n 합 2,763 · sites center_within_30m 합 314"
소로 107건이 전부 1.5 m 로 같게 관측,서식2 문단 86,1.5 m,저장소 산출,deliverables/대전_단속CCTV_골목급대조.csv | docs/판정기준.md | data/vworld/national/derived/ngii_bound_cover.json,유지,
0 %,서식2 문단 89,0 %,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
"-」로 채워져 있다 — 전국 69,247링크(4.43 %)",서식2 문단 90,4.43 %,저장소 산출,deliverables/3단표.md | docs/vworld/데이터수급_실사.md | data/vworld/national/derived/nodelink_scope_stats.json,유지,
sed missing data(위장된 결측)다[문헌N] — 결측률로는 0,서식2 문단 92,[문헌N],1차 원문,출처 일람 N=1차 원문,유지,
◦ ISO 19157-1:2023 은 usabili,서식2 문단 93,ISO 19157-1:2023,1차 원문,출처 일람 「기준 문서」 행,유지,
"은 usability 품질요소를 모델에서 뺐고[문헌L], 국내 지표의 용",서식2 문단 93,[문헌L],2차 인용,출처 일람 L=2차 인용,유지,
국내 지표의 용도 적합성 전환은 진행 중이다[문헌O·P],서식2 문단 93,[문헌O·P],1차 원문,출처 일람 O=1차 원문·P=1차 원문,유지,
세 원천은 이름으로 이어지지 않아 거리(중앙 9.9 m)로 이었다 — 연,서식2 문단 94,9.9 m,저장소 산출,data/vworld/national/derived/ngii_bound_cover.json | data/vworld/national/derived/ngii_medial_width.json | data/vworld/national/derived/ngii_width_probe.json,유지,
GIS 소방 취약지 분석[문헌C] · 공고문 예시,서식2 문단 99,[문헌C],2차 인용,출처 일람 C=2차 인용,유지,
윤찬·박남권 2025[문헌A] 건축·법제도 →,서식2 문단 101,[문헌A],1차 원문,출처 일람 A=1차 원문,유지,
금성현·정임영 2023[문헌B] → 전국 골목에,서식2 문단 103,[문헌B],2차 인용,출처 일람 B=2차 인용,유지,
데이터 준비도 밴드[문헌M] → 도로·재난 판,서식2 문단 105,[문헌M],1차 원문,출처 일람 M=1차 원문,유지,
Liu 외 2025[문헌Q] 거리뷰 영상 딥러,서식2 문단 107,[문헌Q],2차 인용,출처 일람 Q=2차 인용,유지,
Fang 외 2013[문헌R] 대피 시 교차로,서식2 문단 109,[문헌R],2차 인용,출처 일람 R=2차 인용,유지,
배정 · Dresner & Stone 2008[문헌S] (링크 × 시간),서식2 문단 109,[문헌S],2차 인용,출처 일람 S=2차 인용,유지,
Stopic 외 2023[문헌T] 반사값 임계로 주,서식2 문단 111,[문헌T],2차 인용,출처 일람 T=2차 인용,유지,
로 만든다는 지적 ② 차종별 전폭(1.9 / 2.2 / 2.5 m)으로 같은 골목망,서식2 문단 113,2.2 / 2.5 m,저장소 산출,deliverables/차종투입판정_26개소.csv | deliverables/통행가능폭_주차차감_37조각.csv | docs/판정기준.md,유지,
- 활용 22종 중 20종을 공개,서식2 문단 126,22종,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/경사_26개소.csv,유지,
◦ 사례·아이디어 구현 방법 — 26개소 37조각에 폭을,서식2 문단 247,26개소,저장소 산출,deliverables/AI보완_커버리지표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
·영상 분할 하나)을 모두 돌리고 사람 판독 11조각(검증셋)과 판독,서식2 문단 247,11조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI보완_커버리지표.csv,유지,
사람 판독 11조각(검증셋)과 판독 범위 ±1 m 규칙으로 대조했다,서식2 문단 247,1 m,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
AM 으로 노면 폭을 잰 결과는 대조 가능한 8조각 중 7조각이 판독,서식2 문단 277,8조각,저장소 산출,deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv | deliverables/AI보완_커버리지표.csv,유지,
버스정류장 · 도시철도 역사 위치(반경 100 m),서식2 문단 291,100 m,저장소 산출,deliverables/대전_단속CCTV_골목급대조.csv | deliverables/방범CCTV_26개소.csv | deliverables/도달률매트릭스_진입곤란26개소.md,유지,
"위치 산출 — 37조각 중 15, 정류장",서식2 문단 292,37조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
단계(37조각 합계),서식2 문단 304,37조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
◦ 사람 판독 대조 9조각 중 대수 일치 5,서식2 문단 320,9조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/ITS영상CCTV_26개소.csv,유지,
4(예비 대조). 변정7길 잔여 노면은 판독 3.5~4 m · 추정 3.92,서식2 문단 320,3.5~4 m,저장소 산출,deliverables/26개소_산출표.csv | deliverables/대전_단속CCTV_골목급대조.csv | deliverables/보행약자축_26개소.csv,유지,
길 잔여 노면은 판독 3.5~4 m · 추정 3.92 m 로 부합한다. 최,서식2 문단 320,3.92 m,저장소 산출,deliverables/차량탐지_사람대조_11조각.csv | docs/판정기준.md | data/vworld/national/derived/sam_vehicle_width.json,유지,
좌표·가시권만 검토). 방범 CCTV 반경 100 m 안에 드는 조각은,서식2 문단 321,100 m,저장소 산출,deliverables/대전_단속CCTV_골목급대조.csv | deliverables/방범CCTV_26개소.csv | deliverables/도달률매트릭스_진입곤란26개소.md,유지,
"CCTV 반경 100 m 안에 드는 조각은 37조각 중 27개이고,",서식2 문단 321,37조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
"ITS 영상 CCTV 는 가장 가까운 것이 540 m(중앙 2,893",서식2 문단 321,540 m,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
"CTV 는 가장 가까운 것이 540 m(중앙 2,893 m) · 500 m",서식2 문단 321,"2,893 m",저장소 산출,deliverables/ITS영상CCTV_26개소.csv,유지,
"운 것이 540 m(중앙 2,893 m) · 500 m 이내 0개라 CC",서식2 문단 321,500 m,저장소 산출,deliverables/방범CCTV_26개소.csv | deliverables/프리플라이트_결과.md | docs/판정기준.md,유지,
- 긴급차량 전폭 2.5 m — 소방장비 기본,서식2 문단 325,2.5 m,저장소 산출,deliverables/차종투입판정_26개소.csv | deliverables/통행가능폭_주차차감_37조각.csv | docs/판정기준.md,유지,
급차량 전폭 2.5 m — 소방장비 기본규격 KFS 0008~0012 「3.3,서식2 문단 325,KFS 0008,1차 원문,출처 일람 「기준 문서」 행,유지,
- 보행자 유효폭 1.2 m — 장애인등편의법,서식2 문단 326,1.2 m,저장소 산출,deliverables/통행가능폭_주차차감_37조각.csv | docs/판정기준.md | data/vworld/national/derived/sensitivity.json,유지,
효폭 1.2 m — 장애인등편의법 시행규칙 [별표 1] 1.가.(1),서식2 문단 326,별표 1,1차 원문,출처 일람 「기준 문서」 행,유지,
- 일반차량 전폭 2.0 m — 도로의 구조·,서식2 문단 327,2.0 m,저장소 산출,deliverables/통행가능폭_주차차감_37조각.csv | docs/판정기준.md | data/vworld/national/derived/alley_census.json,유지,
m — 도로의 구조·시설 기준에 관한 규칙 제5조(설계기준자동차 소,서식2 문단 327,제5조,1차 원문,출처 일람 「기준 문서」 행,유지,
2.5 m 미만,서식2 문단 331,2.5 m,저장소 산출,deliverables/차종투입판정_26개소.csv | deliverables/통행가능폭_주차차감_37조각.csv | docs/판정기준.md,유지,
11 (29.7 %),서식2 문단 332,29.7 %,저장소 산출,deliverables/통행가능폭_주차차감_37조각.csv,유지,최종채택 2.5 m 미만 11 · 3.7~5.5 m 11 재계산
2.5 ~ 3.7 m,서식2 문단 334,2.5 ~ 3.7 m,저장소 산출,docs/판정기준.md | data/vworld/national/derived/turn_census.json,유지,
12 (32.4 %),서식2 문단 335,32.4 %,저장소 산출,data/vworld/national/derived/slope_26.json,유지,
3.7 ~ 5.7 m,서식2 문단 337,3.7 ~ 5.7 m,저장소 산출,deliverables/통행가능폭_주차차감_37조각.csv,유지,4단 표 구간 경계 5.7 = E 2.5 + P 1.2 + G 2.0(CSV 임계근거) · 073 §2
11 (29.7 %),서식2 문단 338,29.7 %,저장소 산출,deliverables/통행가능폭_주차차감_37조각.csv,유지,최종채택 2.5 m 미만 11 · 3.7~5.5 m 11 재계산
보행자는 지나가되 일반차량 독립 슬롯(2.0 m)은 서지 않는다,서식2 문단 339,2.0 m,저장소 산출,deliverables/통행가능폭_주차차감_37조각.csv | docs/판정기준.md | data/vworld/national/derived/alley_census.json,유지,
5.7 m 이상,서식2 문단 340,5.7 m,저장소 산출,deliverables/통행가능폭_주차차감_37조각.csv,유지,최종채택 5.7 m 이상 3 재계산 · 073 §2
3 (8.1 %),서식2 문단 341,8.1 %,저장소 산출,deliverables/통행가능폭_주차차감_37조각.csv,유지,5.5 m 이상 3 재계산
◦ road_bt 6.00 m 만 보면 보행자와,서식2 문단 343,6.00 m,저장소 산출,deliverables/통행가능폭_주차차감_37조각.csv,유지,변정7길 road_bt 6
"변수를 차감한 변정7길의 최종 통행가능폭은 2.99 m 로, 시간 분리로",서식2 문단 343,2.99 m,저장소 산출,deliverables/26개소_산출표.csv | deliverables/보행약자축_26개소.csv | deliverables/차종투입판정_26개소.csv,유지,
로 내려간다. 충무로68번길도 road_bt 6 m 에서 3.52 m,서식2 문단 343,6 m,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
충무로68번길도 road_bt 6 m 에서 3.52 m 로 내려가 시간,서식2 문단 343,3.52 m,저장소 산출,data/vworld/national/derived/sam_vehicle_width.json,유지,
◦ 폭 판정 임계 3.5 m 는 긴급차량이 혼,서식2 문단 344,3.5 m,저장소 산출,deliverables/26개소_산출표.csv | deliverables/대전_단속CCTV_골목급대조.csv | deliverables/보행약자축_26개소.csv,유지,
"혼자 지나갈 수 있는가를, 분리 모드 임계 3.7 m 는 보행자와 동시",서식2 문단 344,3.7 m,저장소 산출,docs/판정기준.md | data/vworld/national/derived/ortho_crosscheck_panels.json | data/vworld/national/derived/sam_vehicle_width.json,유지,
동시에 쓸 수 있는가를 묻는다. 두 값 사이 2조각(문정로170번길,서식2 문단 344,2조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
◦ 일반차량 독립 슬롯이 서지 않는 조각(5.7 m 미만)이 최종채택,서식2 문단 345,5.7 m,저장소 산출,deliverables/통행가능폭_주차차감_37조각.csv,유지,최종채택 5.7 m 미만 34 재계산 · 073 §2(5.5~5.7 사이 최종채택 값 없음)
않는 조각(5.7 m 미만)이 최종채택 기준 34개(91.9 %)다(,서식2 문단 345,34개,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/경사_26개소.csv,유지,
각(5.7 m 미만)이 최종채택 기준 34개(91.9 %)다(내접폭만 보면,서식2 문단 345,91.9 %,저장소 산출,deliverables/통행가능폭_주차차감_37조각.csv,문장 수정 완료,"34 = 최종채택 5.7 m 미만(073 §2 경계 5.5→5.7, 값 불변) · 3.0 m 미만은 14"
기준 34개(91.9 %)다(내접폭만 보면 23개). 그런데 이 골,서식2 문단 345,23개,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/경사_26개소.csv,유지,
◦ 역전시장길은 내접폭 2.54 m 조각과 5.82,서식2 문단 346,2.54 m,저장소 산출,deliverables/26개소_산출표.csv | deliverables/보행약자축_26개소.csv | deliverables/차종투입판정_26개소.csv,유지,
◦ 역전시장길은 내접폭 2.54 m 조각과 5.82 m 조각을 함께 가진,서식2 문단 346,5.82 m,저장소 산출,deliverables/보행약자축_26개소.csv | deliverables/차종투입판정_26개소.csv | data/vworld/national/derived/ngii_medial_width.json,유지,
한다. 폭으로 갈리는 것은 펌프차다 — 경형 1.9 m 이하 · 소형 2,서식2 문단 349,1.9 m,저장소 산출,deliverables/차종투입판정_26개소.csv | deliverables/통행가능폭_주차차감_37조각.csv | docs/판정기준.md,유지,
펌프차다 — 경형 1.9 m 이하 · 소형 2.2 m 이하 · 중·대형,서식2 문단 349,2.2 m,저장소 산출,deliverables/차종투입판정_26개소.csv | deliverables/통행가능폭_주차차감_37조각.csv | docs/판정기준.md,유지,
이하 · 소형 2.2 m 이하 · 중·대형 2.5 m 이하(KFS 00,서식2 문단 349,2.5 m,저장소 산출,deliverables/차종투입판정_26개소.csv | deliverables/통행가능폭_주차차감_37조각.csv | docs/판정기준.md,유지,
2.2 m 이하 · 중·대형 2.5 m 이하(KFS 0008 3.3). 물탱크,서식2 문단 349,KFS 0008,1차 원문,출처 일람 「기준 문서」 행,유지,
). 물탱크차·사다리차·굴절차·화학차는 모두 2.5 m 이하다,서식2 문단 349,2.5 m,저장소 산출,deliverables/차종투입판정_26개소.csv | deliverables/통행가능폭_주차차감_37조각.csv | docs/판정기준.md,유지,
없음(폭 1.9 m 미만),서식2 문단 353,1.9 m,저장소 산출,deliverables/차종투입판정_26개소.csv | deliverables/통행가능폭_주차차감_37조각.csv | docs/판정기준.md,유지,
◦ 보행약자 축 — 기울기 1/18(별표 1) 대조 가능 2조,서식2 문단 373,별표 1,1차 원문,출처 일람 「기준 문서」 행,유지,
"조각은 충족이나, 계백로1158번길은 내접폭 6.71 m·기울기 1.44",서식2 문단 373,6.71 m,저장소 산출,deliverables/26개소_산출표.csv | deliverables/보행약자축_26개소.csv | deliverables/차종투입판정_26개소.csv,유지,
기고도 계단이 6개다(단차 기준 2 cm). 37조각 중 계단이 있는,서식2 문단 373,37조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
"3,838개에서 71개를 남긴 결과 · 대전 26개소",서식2 문단 376,26개소,저장소 산출,deliverables/AI보완_커버리지표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
"·등고선은 조회되지만(실패 0, 등고선 간격 5 m) 표고점이 조각당",서식2 문단 380,5 m,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
"0, 등고선 간격 5 m) 표고점이 조각당 1개 이하인 조각이 3",서식2 문단 380,1개,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
표고점이 조각당 1개 이하인 조각이 32개라 37조각 중 2조각만 경사,서식2 문단 380,37조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
2개라 37조각 중 2조각만 경사값이 나왔다(0.04 %·1.44 %).,서식2 문단 380,0.04 %,저장소 산출,deliverables/도달률매트릭스_진입곤란26개소.md | data/vworld/national/derived/alley_census.json | data/vworld/national/derived/slope_26.json,유지,
각 중 2조각만 경사값이 나왔다(0.04 %·1.44 %). 없어서가 아니,서식2 문단 380,1.44 %,저장소 산출,deliverables/보행약자축_26개소.csv | deliverables/도달률매트릭스_진입곤란26개소.md | data/vworld/national/derived/sam_validation.json,유지,
- 등판능력 기준은 기본규격 KFS 0008-2019-01 4.4.1.1 「,서식2 문단 381,KFS 0008-2019-01,1차 원문,출처 일람 「기준 문서」 행,유지,
0008-2019-01 4.4.1.1 「구배 18 %」에 있다(차대 제,서식2 문단 381,18 %,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/ITS영상CCTV_26개소.csv,유지,
"모두 기준 아래이며, 사전 커밋 산출 기록(37조각 UNKNOWN_F",서식2 문단 381,37조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
피 구간(내비 공급자 권한 미개통 · 실응답 0건) · 재난문자 ·,서식2 문단 384,0건,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
◦ 26개소 산출 요약 — 대,서식2 문단 386,26개소,저장소 산출,deliverables/AI보완_커버리지표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
상은 표준 도로망에 지정 도로명 링크가 없는 26개소(동구 5 · 중구,서식2 문단 386,26개소,저장소 산출,deliverables/AI보완_커버리지표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
"· 대덕구 8), 조각 37개다. 전체 표는 26개소_산출표.csv",서식2 문단 386,26개소,저장소 산출,deliverables/AI보완_커버리지표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
