관리번호,시군구명,주소,nearest_road,nearest_m,nearest_tier,alley_level,within30m_26site_names
3680000_CCTV_00023,대덕구,대전광역시 대덕구 동춘당로 114번길,송촌북로36번길,19.8,번길,False,[]
3670000_CCTV_00201,유성구,대전광역시 유성구 가정동 237(도룡SK뷰아파트),대덕대로541번길,24.2,번길,False,[]
3680000_CCTV_00001,대덕구,대전광역시 대덕구 신탄진로 783,석봉로,15.1,로,False,[]
3680000_CCTV_00015,대덕구,대전광역시 대덕구 한남로 19,한남로17번길,13.9,번길,True,[]
3680000_CCTV_00014,대덕구,대전광역시 대덕구 비래동 520,동서대로,14.7,대로,False,[]
3670000_CCTV_00133,유성구,대전광역시 유성구 전민동 467-5(엑스포코아 삼거리),엑스포로466번길,19.5,번길,False,[]
3670000_CCTV_00134,유성구,대전광역시 유성구 원내동 321-11(새마을금고 주변),원내로,14.4,로,False,[]
3670000_CCTV_00135,유성구,대전광역시 유성구 구암동 610-24(진터벌 삼거리),유성대로654번길,13.8,번길,True,[]
3670000_CCTV_00137,유성구,대전광역시 유성구 어은동 110-9(유성구의회청사 옆),어은로,20.2,로,False,[]
3670000_CCTV_00138,유성구,대전광역시 유성구 송강동 49-1(송강프라자 네거리),봉산로,22.5,로,False,[]
3670000_CCTV_00139,유성구,대전광역시 유성구 반석로 10 반석역프라자,반석로12번길,27.4,번길,False,[]
3670000_CCTV_00140,유성구,대전광역시 유성구 반석로 24(올리브영 반석점),반석로,24.1,로,False,[]
3670000_CCTV_00141,유성구,대전광역시 유성구 테크노4로 141,테크노4로,26.5,로,False,[]
3670000_CCTV_00142,유성구,"대전광역시 유성구 용산동 666(용산초등학교 앞, 우림필유 아파트 1101동 앞)",,,,False,[]
3670000_CCTV_00144,유성구,대전광역시 유성구 문화원로 18 (장대동),문화원로,15.1,로,False,[]
3670000_CCTV_00145,유성구,"대전광역시 유성구 지족로 368 (지족동, 옥타브상가) (농협 앞)",,,,False,[]
3670000_CCTV_00146,유성구,대전광역시 유성구 은구비남로33번길 18,은구비남로33번길,15.7,번길,False,[]
3670000_CCTV_00147,유성구,대전광역시 유성구 지족동 910-8(노은역 환승주차장 앞),은구비남로33번길,15.2,번길,False,[]
3670000_CCTV_00149,유성구,대전광역시 유성구 관평동 995(동화중 삼거리),관들3길,13.0,길,True,[]
3670000_CCTV_00148,유성구,대전광역시 유성구 지족동 905-4(씨네위 앞),,,,False,[]
3670000_CCTV_00150,유성구,대전광역시 유성구 상대동 465(휴먼시아 아파트 401동 앞),,,,False,[]
3670000_CCTV_00151,유성구,대전광역시 유성구 봉명서로20번길 17-23 앞 사거리,봉명서로20번길,25.3,번길,False,[]
3670000_CCTV_00152,유성구,대전광역시 유성구 계룡로52번길 11 유성세움펠리피아 아파트 앞 봉명네거리,,,,False,[]
3670000_CCTV_00153,유성구,대전광역시 유성구 은구비로 31 열매마을5단지 LBA노은합동공인중개사사무소 앞 지족네거리,,,,False,[]
3670000_CCTV_00154,유성구,대전광역시 유성구 노은로 158 스위스안경본점 앞,은구비남로33번길,23.9,번길,False,[]
3670000_CCTV_00155,유성구,대전광역시 유성구 계룡로 92 유성CJ나인파크 짬뽕의진수 앞 사거리,계룡로88번길,29.4,번길,False,[]
3670000_CCTV_00156,유성구,대전광역시 유성구 신성동 137-1 (탄동농협 앞 사거리),신성로84번길,19.3,번길,False,[]
3670000_CCTV_00157,유성구,"대전광역시 유성구 상대로 40 (상대동, 도안휴먼시아4단지) 408동 앞 유성중삼거리",,,,False,[]
3670000_CCTV_00158,유성구,대전광역시 유성구 엑스포로123번길 46-15 스마트시티 501동 옆,,,,False,[]
3670000_CCTV_00159,유성구,대전광역시 유성구 엑스포로466번길 97 꿈돌이슈퍼 앞 삼거리,엑스포로466번길,20.6,번길,False,[]
3670000_CCTV_00160,유성구,대전광역시 유성구 장대로71번길 12 유성초등학교 드림아트미술교습소 옆,,,,False,[]
3670000_CCTV_00161,유성구,대전광역시 유성구 궁동 413-1(궁동로 18번길 2),궁동로,10.6,로,False,[]
3670000_CCTV_00162,유성구,대전광역시 유성구 궁동 413-7(궁동로18번길 24),궁동로14번길,18.4,번길,False,[]
3670000_CCTV_00163,유성구,대전광역시 유성구 궁동 409(대학로151번길 46),대학로151번길,14.0,번길,True,[]
3670000_CCTV_00164,유성구,대전광역시 유성구 궁동 1-28(농대로 25),궁동로18번길,10.2,번길,True,[]
3670000_CCTV_00165,유성구,대전광역시 유성구 궁동 1-36(궁동로 74),궁동로,11.0,로,False,[]
3670000_CCTV_00166,유성구,대전광역시 유성구 궁동 393 (궁동로 47),궁동로,15.3,로,False,[]
3670000_CCTV_00167,유성구,대전광역시 유성구 계룡로132번길 22(봉명동 유시티 네거리),도안대로590번길,24.1,번길,False,[]
3670000_CCTV_00168,유성구,대전광역시 유성구 은구비남로 56(노은동 열매마을9단지) 901동 앞,,,,False,[]
3670000_CCTV_00169,유성구,대전광역시 유성구 은구비로 52(지족동 지족우체국),은구비서로,20.6,로,False,[]
3670000_CCTV_00170,유성구,대전광역시 유성구 엑스포로 488(전민네거리),,,,False,[]
3670000_CCTV_00171,유성구,대전광역시 유성구 계산동 801-1(진잠농협 앞),학하서로20번길,12.2,번길,True,[]
3670000_CCTV_00172,유성구,대전광역시 유성구 봉명동 528(리베라호텔 네거리),계룡로74번길,0.1,번길,True,[]
3670000_CCTV_00173,유성구,대전광역시 유성구 지족로 283(CU 지족센터점 앞) 고래들네거리,지족로,24.3,로,False,[]
3670000_CCTV_00174,유성구,대전광역시 유성구 대학로 151 e-미래공인중개사사무소 앞,궁동로2번길,12.2,번길,True,[]
3670000_CCTV_00175,유성구,대전광역시 유성구 궁동 418-8(해피씨드 앞),대학로137번길,10.4,번길,True,[]
3670000_CCTV_00176,유성구,대전광역시 유성구 궁동 410-13(파리바게트 궁동점),대학로145번길,18.8,번길,False,[]
3670000_CCTV_00177,유성구,대전광역시 유성구 궁동 428-1(궁동노인정),궁동로2번길,19.3,번길,False,[]
3670000_CCTV_00178,유성구,대전광역시 유성구 유성대로 735(유성중고만물상 앞),유성대로,16.5,대로,False,[]
3670000_CCTV_00179,유성구,대전광역시 유성구 유성대로 756 울엄마양평해장국 주차장 앞 사거리,유성대로758번길,21.8,번길,False,[]
3670000_CCTV_00180,유성구,대전광역시 유성구 대정동 303-2(모다아울렛 앞),,,,False,[]
3670000_CCTV_00143,유성구,대전광역시 유성구 배울2로 114 대덕테크노밸리11단지아파트 예인유치원 앞,,,,False,[]
3650000_CCTV_00203,중구,대전광역시 중구 대둔산로 394(산성동 279-1/산성4가),보문산로,23.6,로,False,[]
3650000_CCTV_00204,중구,대전광역시 중구 중앙로 160(은행동 48-1/밀라노 21),중앙로,29.9,로,False,[]
3650000_CCTV_00205,중구,대전광역시 중구 보문로 57(부사동 151-1/ 부사4가),사득로,12.9,로,False,[]
3650000_CCTV_00206,중구,대전광역시 중구 수도산로 12(대흥동 365-5/대흥초교) - 어린이(초),수도산로,9.8,로,False,[]
3650000_CCTV_00207,중구,대전광역시 중구 문창로 3(부사동149-13/문창시장입구),문창로,13.0,로,False,[]
3650000_CCTV_00208,중구,대전광역시 중구 중앙로 156번길 50(은행동 163-5 중교통 은행4가),중앙로156번길,11.0,번길,True,[]
3650000_CCTV_00209,중구,대전광역시 중구 중교로 91-3(은행동 76-29/ 중교통 중교),중교로,3.5,로,False,[]
3650000_CCTV_00210,중구,대전광역시 중구 문창로 55(부사동 94-15/문창초교) - 어린이(초),문창로,11.2,로,False,[]
3650000_CCTV_00211,중구,대전광역시 중구 보문로 26(문창동 365-12/문창신협),보문로,27.3,로,False,[]
3650000_CCTV_00212,중구,대전광역시 중구 충무로 95(대사동 77-44/보문5가),충무로,8.7,로,False,[]
3650000_CCTV_00213,중구,대전광역시 중구 충무로 117(대사동 63-17/충무로 4가),대흥12길,12.1,길,True,[]
3650000_CCTV_00214,중구,대전광역시 중구 계룡로 942(대사동 248-229/대사동4가)충대병원4가,계룡로,18.0,로,False,[]
3650000_CCTV_00215,중구,대전광역시 중구 보문산로 82(산성동 298-2/산성3가),보문산로,18.4,로,False,[]
3650000_CCTV_00216,중구,대전광역시 중구 계백로 1615번길 25(유천동 205-1/원평초교) - 어린이(초),계백로1603번길,10.6,번길,True,[]
3650000_CCTV_00217,중구,대전광역시 중구 동서대로 1218(태평동 381-16/ 태평5가),,,,False,[]
3650000_CCTV_00218,중구,대전광역시 중구 문화로 266(대사동 642/충대부속병원),,,,False,[]
3650000_CCTV_00219,중구,대전광역시 중구 문창로 25-1(부사동 93-2/문창시장 통),문창로,14.4,로,False,[]
3650000_CCTV_00220,중구,대전광역시 중구 중앙로 100(대흥동507/보건지소 앞),,,,False,[]
3650000_CCTV_00221,중구,대전광역시 중구 목중로 53(목동52-106/세종약국 앞),목중로,10.9,로,False,[]
3650000_CCTV_00222,중구,대전광역시 중구 대종로 476(은행동 157-2/국민은행 앞) - 어린이(유),대종로,28.9,로,False,[]
3650000_CCTV_00223,중구,대전광역시 중구 보문로 346번길 19(선화동260-1/세무서삼거리),대종로561번길,11.6,번길,True,[]
3650000_CCTV_00224,중구,대전광역시 중구 대둔산로 460(산성동144-9/도마교4거리),대둔산로,22.4,로,False,[]
3650000_CCTV_00225,중구,대전광역시 중구 당디로6번길 90(문화동 773/문화2동주민센터),보문산로171번길,16.8,번길,False,[]
3650000_CCTV_00226,중구,대전광역시 중구 계백로 1712(문화동1-31/서대전시민공원),,,,False,[]
3650000_CCTV_00227,중구,대전광역시 중구 계룡로 911(문화동 1-143/서대전우체국),중앙로16번길,15.5,번길,False,[]
3650000_CCTV_00228,중구,대전광역시 중구 태평로 30(유천동 324-22/버드내2단지) - 어린이(초),태평로,21.7,로,False,[]
3650000_CCTV_00229,중구,대전광역시 중구 태평로 10(유천동 327-15/버드내초교) - 어린이(초),태평로,19.0,로,False,[]
3650000_CCTV_00230,중구,대전광역시 중구 수침로 70(태평동 263-12/대전중원장로교회),수침로,7.7,로,False,[]
3650000_CCTV_00231,중구,대전광역시 중구 수침로 103(태평동 339-2/푸른뫼@),수침로,8.0,로,False,[]
3650000_CCTV_00232,중구,대전광역시 중구 대종로315번길 42(부사동135-1/)보운초등학교,대종로315번길,5.3,번길,True,[]
3650000_CCTV_00234,중구,대전광역시 중구 송리로 11(문화동583-1)대문초등학교,,,,False,[]
3650000_CCTV_00233,중구,대전광역시 중구 서문로 10(문화동157)한밭도서관,,,,False,[]
3650000_CCTV_00235,중구,대전광역시 중구 계룡로918번길 97(문화동1-258)글꽃초등학교,계룡로918번길,21.4,번길,False,[]
3650000_CCTV_00236,중구,대전광역시 중구 오류로 46(오류동175-2)오류초등학교,,,,False,[]
3650000_CCTV_00237,중구,대전광역시 중구 유천로 117(태평동385-10)태평초등학교,유천로,16.6,로,False,[]
3650000_CCTV_00238,중구,대전광역시 중구 목중로19번길 70(목동26-1)목동초등학교,,,,False,[]
3650000_CCTV_00239,중구,대전광역시 중구 목동로56번길 15(목동363)목동초등학교,,,,False,[]
3650000_CCTV_00240,중구,대전광역시 중구 대전천서로 521(선화동84)선화초등학교,대종로550번길,15.0,번길,True,[]
3650000_CCTV_00241,중구,대전광역시 중구 모암로 35(옥계동 61-8) 옥계초등학교,,,,False,[]
3650000_CCTV_00242,중구,대전광역시 중구 대종로 684(중촌동 83)중촌초등학교,대종로,29.6,로,False,[]
3650000_CCTV_00243,중구,대전광역시 중구 목동로 69(목동 24-47) 목양초등학교,,,,False,[]
3650000_CCTV_00244,중구,대전광역시 중구 계백로1690(문화동 1-17) 홈플러스 문화점,,,,False,[]
3660000_CCTV_00125,서구,대전광역시 서구 신갈마로 203번길 77(국민생활관),신갈마로,13.9,로,False,[]
3660000_CCTV_00126,서구,대전광역시 서구 봉우로8번길 23(롯데시네마 1),,,,False,[]
3660000_CCTV_00127,서구,대전광역시 서구 봉우로8번길 23(롯데시네마 2),,,,False,[]
3660000_CCTV_00128,서구,대전광역시 서구 도마로 7번길 3(김밥천국),도마로7번길,9.1,번길,True,[]
3660000_CCTV_00129,서구,대전광역시 서구 도마로 19번길 3(해든마켓),도마로19번길,8.4,번길,True,[]
3660000_CCTV_00130,서구,대전광역시 서구 갈마역로 9-1(갈마동 쉐보레서비스),갈마역로11번길,10.6,번길,True,[]
3660000_CCTV_00131,서구,대전광역시 서구 탄방로 65(탄방동 e편한세상아파트 입구),계룡로615번길,11.1,번길,True,[]
3650000_CCTV_00202,중구,대전광역시 중구 중교로 5(대흥동 502-1/성모5거리),중교로,15.5,로,False,[]
3670000_CCTV_00132,유성구,대전광역시 유성구 지족동 965번지(월드코아 주변),은구비남로33번길,0.0,번길,True,[]
3660000_CCTV_00061,서구,대전광역시 서구 도마로 2(경남아파트),도마로,10.7,로,False,[]
3660000_CCTV_00062,서구,대전광역시 서구 둔산로 220(청솔아파트),둔산로218번길,23.5,번길,False,['문정로170번길']
3660000_CCTV_00063,서구,대전광역시 서구 둔산로 25(타임월드),둔지로,26.9,로,False,[]
3660000_CCTV_00064,서구,대전광역시 서구 문예로 73(한마루네거리),둔산중로72번길,25.2,번길,False,[]
3660000_CCTV_00065,서구,대전광역시 서구 월평로 60(신촌네거리),월평로,22.2,로,False,[]
3660000_CCTV_00066,서구,대전광역시 서구 월평북로 77(백합네거리),청사서로54번길,16.6,번길,False,[]
3660000_CCTV_00067,서구,대전광역시 서구 둔산로 144(크로바네거리),둔산중로46번길,23.3,번길,False,[]
3660000_CCTV_00095,서구,대전광역시 서구 둔산로 155(문정네거리),,,,False,[]
3660000_CCTV_00076,서구,대전광역시 서구 문예로 33(목련네거리),둔산중로32번길,17.6,번길,False,[]
3660000_CCTV_00086,서구,대전광역시 서구 문정로 122(공작한양아파트),문정로122번길,10.8,번길,True,[]
3660000_CCTV_00096,서구,대전광역시 서구 문정로 90(세이탄방점),문정로90번길,14.0,번길,True,[]
3660000_CCTV_00085,서구,대전광역시 서구 둔산중로 8(로데오 타운),,,,False,[]
3660000_CCTV_00078,서구,"대전광역시 서구 둔산중로 19(샤크존, 까치네거리)",,,,False,[]
3660000_CCTV_00075,서구,대전광역시 서구 둔산로 133(현대아이텔),둔산중로58번길,23.9,번길,False,[]
3660000_CCTV_00084,서구,대전광역시 서구 대덕대로 415(테크노 월드),,,,False,[]
3660000_CCTV_00068,서구,대전광역시 서구 대덕대로 325(정부청사),,,,False,[]
3660000_CCTV_00093,서구,대전광역시 서구 월평북로 90(일산빌딩삼거리),월평북로,27.9,로,False,[]
3660000_CCTV_00079,서구,대전광역시 서구 월평중로 55(은뜰삼거리),월평중로,24.9,로,False,[]
3660000_CCTV_00080,서구,대전광역시 서구 한밭대로570번길 26(이마트월평점),한밭대로570번길,20.3,번길,False,[]
3660000_CCTV_00077,서구,대전광역시 서구 월평중로 1(대전일보),월평중로3번길,9.6,번길,True,[]
3660000_CCTV_00090,서구,대전광역시 서구 둔산북로 30(이마트둔산점),둔산로31번길,26.4,번길,False,[]
3660000_CCTV_00103,서구,대전광역시 서구 대덕대로 222(삼성전자서비스),대덕대로220번길,21.9,번길,False,[]
3660000_CCTV_00092,서구,대전광역시 서구 대덕대로 185번길 30(갤러리아 옥외주차장),대덕대로185번길,17.4,번길,False,[]
3660000_CCTV_00102,서구,대전광역시 서구 갈마중로40,갈마중로38번길,11.3,번길,True,['갈마중로28번길']
3660000_CCTV_00094,서구,대전광역시 서구 갈마중로 15(서부소방서),,,,False,[]
3660000_CCTV_00073,서구,대전광역시 서구 월드컵대로 480(대전광역시도시철도공사),,,,False,[]
3660000_CCTV_00099,서구,대전광역시 서구 동서대로 682(스타벅스),,,,False,[]
3660000_CCTV_00098,서구,대전광역시 서구 도안북로 107(남대전농협),도안북로93번길,21.4,번길,False,[]
3660000_CCTV_00083,서구,대전광역시 서구 원도안로 200(도안초등학교),,,,False,[]
3660000_CCTV_00108,서구,대전광역시 서구 도안동로 177(수목토아파트117동 앞),원도안로,22.8,로,False,[]
3660000_CCTV_00107,서구,대전광역시 서구 원도안로 43(우미프라자),원도안로,29.9,로,False,[]
3660000_CCTV_00100,서구,대전광역시 서구 원도안로 16(지산프라자),용소로12번길,19.8,번길,False,[]
3660000_CCTV_00101,서구,대전광역시 서구 구봉로147번길 64(느리울유치원),구봉로147번길,21.8,번길,False,[]
3660000_CCTV_00106,서구,대전광역시 서구 관저동 1539(노브랜드),구봉로147번길,22.3,번길,False,[]
3660000_CCTV_00105,서구,대전광역시 서구 구봉로 133(에스프라자),구봉로131번길,26.3,번길,False,[]
3660000_CCTV_00104,서구,대전광역시 서구 구봉로 122(순복음예광교회),관저남로25번길,16.8,번길,False,[]
3660000_CCTV_00097,서구,대전광역시 서구 청사로 128(칼릭스빌딩),,,,False,[]
3660000_CCTV_00091,서구,대전광역시 서구 월드컵대로484번안길 10(마이웨딩홀),계룡로232번길,23.5,번길,False,[]
3660000_CCTV_00089,서구,대전광역시 서구 계룡로 598(탄방네거리),,,,False,[]
3660000_CCTV_00082,서구,대전광역시 서구 가장로 106(래미안아파트 117동 옆),,,,False,[]
3660000_CCTV_00070,서구,"대전광역시 서구 갈마로 262(한민시장, 삼천종합상가 앞)",,,,False,[]
3660000_CCTV_00074,서구,대전광역시 서구 정림로 66번길 3(우성아파트 103동 대각위치),정림로66번길,11.3,번길,True,[]
3660000_CCTV_00088,서구,대전광역시 서구 정림로 55(수밋들공원),,,,False,[]
3660000_CCTV_00087,서구,대전광역시 서구 복수동로 52(복수동행정복지센터),복수동로52번길,15.9,번길,False,[]
3660000_CCTV_00071,서구,대전광역시 서구 도산로 61(도마시장),제비네4길,9.6,길,True,[]
3660000_CCTV_00081,서구,대전광역시 서구 한밭대로755(삼성생명),,,,False,[]
3660000_CCTV_00072,서구,대전광역시 서구 둔산중로 78번길 15(검찰청),,,,False,[]
3660000_CCTV_00069,서구,대전광역시 서구 둔산로 15(둔산여고네거리),,,,False,[]
3640000_CCTV_00029,동구,대전광역시 동구 계족로 140번길 183(용운동),,,,False,[]
3640000_CCTV_00030,동구,대전광역시 동구 계족로 430 (용전동),계족로432번길,15.5,번길,False,[]
3640000_CCTV_00031,동구,대전광역시 동구 대전로 776(원동),대전로,24.2,로,False,[]
3640000_CCTV_00033,동구,대전광역시 동구 대전로 817(정동),대전로815번길,5.2,번길,True,[]
3640000_CCTV_00034,동구,대전광역시 동구 대전로942(삼성동),대전로,23.0,로,False,[]
3640000_CCTV_00035,동구,대전광역시 동구 대전천동로 518-3(원동),대전천동로,8.0,로,False,[]
3640000_CCTV_00036,동구,대전광역시 동구 대전천동로 540-1(중동),대전천동로,16.9,로,False,[]
3640000_CCTV_00037,동구,대전광역시 동구 대전천동로 586-1(중동),대전로839번길,9.1,번길,True,[]
3640000_CCTV_00038,동구,대전광역시 동구 대전천동로566-1(중동),선화로192번길,15.3,번길,False,[]
3640000_CCTV_00039,동구,대전광역시 동구 대전로750,동대전로,17.1,로,False,[]
3640000_CCTV_00040,동구,대전광역시 동구 대흥로 204,대흥로202번길,24.0,번길,False,[]
3640000_CCTV_00041,동구,대전광역시 동구 동대전로 79(대동),동대전로,27.6,로,False,[]
3640000_CCTV_00042,동구,대전광역시 동구 동대전로284번길 120(가양동),우암로,14.3,로,False,[]
3640000_CCTV_00043,동구,대전광역시 동구 동대전로46번길 76(신흥동),,,,False,[]
3640000_CCTV_00044,동구,대전광역시 동구 동부로 17(판암동),동부로,17.5,로,False,[]
3640000_CCTV_00045,동구,대전광역시 동구 동서대로 1689(용전동),,,,False,[]
3640000_CCTV_00046,동구,대전광역시 동구 동서대로 1695번길 63(용전동),동서대로1683번길,9.5,번길,True,[]
3640000_CCTV_00047,동구,대전광역시 동구 동서대로 1705번길 5(용전동),동서대로1705번길,11.8,번길,True,[]
3640000_CCTV_00048,동구,대전광역시 동구 동서대로1695번길24-14(용전동),동서대로1695번길,14.8,번길,True,[]
3640000_CCTV_00049,동구,대전광역시 동구 선화로 209 (삼성동),선화로,10.1,로,False,[]
3640000_CCTV_00050,동구,대전광역시 동구 옥천로186(판암동),판암로,9.7,로,False,[]
3640000_CCTV_00051,동구,대전광역시 동구 용운로 174(용운동),용운로,15.5,로,False,[]
3640000_CCTV_00052,동구,대전광역시 동구 은어송로 55(가오동),은어송로51번길,14.9,번길,True,[]
3640000_CCTV_00053,동구,대전광역시 동구 은어송로 73(가오동),대전로448번길,15.5,번길,False,[]
3640000_CCTV_00054,동구,대전광역시 동구 중교로 125 (원동),중앙로204번길,12.1,번길,True,[]
3640000_CCTV_00055,동구,대전광역시 동구 중앙로 190 (중동),중앙로,25.5,로,False,[]
3640000_CCTV_00056,동구,대전광역시 동구 중앙로 200번길 70(원동),,,,False,[]
3640000_CCTV_00057,동구,대전광역시 동구 태전로 18(중동),태전로,13.9,로,False,[]
3640000_CCTV_00058,동구,대전광역시 동구 태전로 6(중동),대전로807번길,11.7,번길,True,[]
3640000_CCTV_00059,동구,대전광역시 동구 판암동 293-1,동부로10번길,4.7,번길,True,[]
3640000_CCTV_00060,동구,대전광역시 동구 판암동 303-9,동부로10번길,14.9,번길,True,[]
3660000_CCTV_00109,서구,대전광역시 서구 둔산로74번길 20(둔산초등학교),,,,False,[]
3660000_CCTV_00110,서구,대전광역시 서구 가장로 150(가장초등학교),갈마로313번길,13.3,번길,True,[]
3660000_CCTV_00111,서구,대전광역시 서구 원도안로 80(도솔초등학교),,,,False,[]
3660000_CCTV_00112,서구,대전광역시 서구 월평동로 2(갈마초등학교),계룡로314번길,19.7,번길,False,[]
3660000_CCTV_00113,서구,대전광역시 서구 탄방동 91-23(한밭새마을금고),,,,False,[]
3660000_CCTV_00114,서구,대전광역시 서구 도솔로 162(푸르내리아파트),도산로181번길,14.9,번길,True,[]
3660000_CCTV_00115,서구,대전광역시 서구 월평서로 13(월평초등학교),월평서로,23.9,로,False,[]
3660000_CCTV_00116,서구,대전광역시 서구 탄방로 8(탄방초등학교),탄방로,16.6,로,False,[]
3660000_CCTV_00117,서구,대전광역시 서구 도안동로 11번길(CGV 가수원),,,,False,[]
3660000_CCTV_00118,서구,대전광역시 서구 도마로 34(귀빈장마트),도마로,12.4,로,False,[]
3660000_CCTV_00119,서구,대전광역시 서구 도마로 34(귀빈장마트),도솔로,17.5,로,False,[]
3660000_CCTV_00120,서구,대전광역시 서구 배재로 172번길 23(도마초등학교),,,,False,[]
3660000_CCTV_00121,서구,대전광역시 서구 계백로 1135(MK 클리닉),원도안로,26.4,로,False,[]
3660000_CCTV_00122,서구,대전광역시 서구 도안동로 3(리더스프라자),,,,False,[]
3660000_CCTV_00123,서구,대전광역시 서구 둔산남로 103(오투저축은행 대전본점),둔산남로105번길,19.7,번길,False,[]
3660000_CCTV_00124,서구,대전광역시 서구 청사로 234(둥지네거리),,,,False,[]
3640000_CCTV_00032,동구,대전광역시 동구 대전로 792(중앙동),대전로,29.3,로,False,[]
