연번,조각,축선 길이(m),표고점 수,P 경사(%),등고선 교차,C 경사(%),등고선 간격(m),판정,비고
12,문정로112번안길,48.4,1,,1,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 교차 2개 미만 → NOT_COMPUTED
12,남선로9번길,30.6,1,,0,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 교차 2개 미만 → NOT_COMPUTED
14,계족산로5번안길 22,101.0,1,,1,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 교차 2개 미만 → NOT_COMPUTED
14,계족로608번길 30,18.2,1,,0,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 교차 2개 미만 → NOT_COMPUTED
15,대전로1375번길 22-14,24.0,0,,0,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 교차 2개 미만 → NOT_COMPUTED
16,대전로1397번길 50,5.1,0,,0,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 교차 2개 미만 → NOT_COMPUTED
17,청자마을길 28,51.6,1,,1,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 교차 2개 미만 → NOT_COMPUTED
18,태양마을길 28,10.7,1,,0,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 교차 2개 미만 → NOT_COMPUTED
19,동심9길,57.3,0,,1,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 교차 2개 미만 → NOT_COMPUTED
20,늘봄2길,69.7,1,,0,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 교차 2개 미만 → NOT_COMPUTED
23,동춘당로31번길,77.8,0,,1,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 교차 2개 미만 → NOT_COMPUTED
27,도솔로175번길,54.1,1,,1,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 교차 2개 미만 → NOT_COMPUTED
28,변정1길,61.1,2,,0,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 교차 2개 미만 → NOT_COMPUTED
28,변정7길,22.0,1,,0,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 교차 2개 미만 → NOT_COMPUTED
29,당디로124번길,32.4,1,,0,,,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 교차 2개 미만 → NOT_COMPUTED
31,충무로68번길,42.2,1,,1,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 교차 2개 미만 → NOT_COMPUTED
32,보문산공원로530번길,10.4,1,,1,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 교차 2개 미만 → NOT_COMPUTED
33,대둔산로414번길,131.2,3,0.04,1,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),C: 교차 2개 미만 → NOT_COMPUTED
35,보문산로122번길,4.6,1,,0,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 축선 5 m < 등고선 간격 5 m → NOT_COMPUTED
35,대둔산로386번길,16.8,0,,0,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 교차 2개 미만 → NOT_COMPUTED
36,계백로1158번길,156.0,4,1.44,0,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),C: 교차 2개 미만 → NOT_COMPUTED
